Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side,Zoho_Id
6,F123,1,Each,1,Top,Frame,,4359806000299886127
7,F123,1,Each,1,Bottom,Frame,,4359806000299886127
8,F123,1,Each,3,Side,Frame,,4359806000299886129
9,F123,1,Each,2,Side,Frame,,4359806000299886128
19,F123,1,Each,60,Top,Design,,4359806000299886179
20,F123,2,Each,5,Center,Internal,,4359806000299886130
21,F123,5,Each,7,Top,Internal,,4359806000299886132
22,F123,1,Each,9,Top,Final,,4359806000299886134
23,F123,1,Each,9,Bottom,Final,,4359806000299886134
24,F123,1,Each,10,Center,Final,,4359806000299886135
25,G100,1,Each,17,Side,Frame,,4359806000299886140
26,G100,1,Each,22,Top,Frame,,4359806000299886142
27,G100,1,Each,22,Bottom,Frame,,4359806000299886142
28,G100,5,Each,7,Full,Internal,,4359806000299886132
29,G100,1,Each,20,Side,Frame,,4359806000299886141
32,Tube-S,2,Each,14,Side,Frame,,4359806000299886138
33,Tube-S,1,Each,22,Top,Frame,,4359806000299886142
35,Tube-D,2,Each,14,Side,Frame,,4359806000299886138
36,Tube-D,1,Each,14,Center,Frame,,4359806000299886138
37,Tube-D,1,Each,22,Top,Frame,,4359806000299886142
38,Tube-D,1,Each,22,Bottom,Frame,,4359806000299886142
39,F123,5,Each,7,Bottom,Internal,,4359806000299886132
45,S114,1,Each,24,Top,Frame,,4359806000299886144
46,S114,1,Each,1,Bottom,Frame,,4359806000299886127
47,S114,1,Each,3,Side,Frame,,4359806000299886129
48,S114,1,Each,2,Side,Frame,,4359806000299886128
49,S114,2,Each,34,Top,Design,,4359806000299886153
50,S114,2,Each,34,Bottom,Design,,4359806000299886153
51,S114,1,Each,9,Full,Final,,4359806000299886134
56,S106,1,Each,1,Top,Frame,,4359806000299886127
57,S106,1,Each,1,Bottom,Frame,,4359806000299886127
58,S106,1,Each,3,Side,Frame,,4359806000299886129
59,S106,1,Each,2,Side,Frame,,4359806000299886128
60,S106,2,Each,7,Top,Internal,,4359806000299886132
61,S106,2,Each,7,Bottom,Internal,,4359806000299886132
62,S106,2,Each,6,Bottom,Internal,,4359806000299886131
63,S106,2,Each,6,Top,Internal,,4359806000299886131
64,S106,1,Each,9,Top,Final,,4359806000299886134
65,S106,1,Each,9,Bottom,Final,,4359806000299886134
69,S106,1,Each,1,Center,Internal,,4359806000299886127
70,Tube-D,1,Each,25,Center,Internal,,4359806000299886145
