Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side
6,F123,1,Each,1,Top,Frame,
7,F123,1,Each,1,Bottom,Frame,
8,F123,1,Each,3,Side,Frame,
9,F123,1,Each,2,Side,Frame,
19,F123,1,Each,60,Top,Design,
20,F123,2,Each,5,Center,Internal,
21,F123,5,Each,7,Top,Internal,
22,F123,1,Each,9,Top,Final,
23,F123,1,Each,9,Bottom,Final,
24,F123,1,Each,10,Center,Final,
25,G100,1,Each,17,Side,Frame,
26,G100,1,Each,22,Top,Frame,
27,G100,1,Each,22,Bottom,Frame,
28,G100,5,Each,7,Full,Internal,
29,G100,1,Each,20,Side,Frame,
32,Tube-S,2,Each,14,Side,Frame,
33,Tube-S,1,Each,22,Top,Frame,
35,Tube-D,2,Each,14,Side,Frame,
36,Tube-D,1,Each,14,Center,Frame,
37,Tube-D,1,Each,22,Top,Frame,
38,Tube-D,1,Each,22,Bottom,Frame,
39,F123,5,Each,7,Bottom,Internal,
45,S114,1,Each,24,Top,Frame,
46,S114,1,Each,1,Bottom,Frame,
47,S114,1,Each,3,Side,Frame,
48,S114,1,Each,2,Side,Frame,
49,S114,2,Each,34,Top,Design,
50,S114,2,Each,34,Bottom,Design,
51,S114,1,Each,9,Full,Final,
56,S106,1,Each,1,Top,Frame,
57,S106,1,Each,1,Bottom,Frame,
58,S106,1,Each,3,Side,Frame,
59,S106,1,Each,2,Side,Frame,
60,S106,2,Each,7,Top,Internal,
61,S106,2,Each,7,Bottom,Internal,
62,S106,2,Each,6,Bottom,Internal,
63,S106,2,Each,6,Top,Internal,
64,S106,1,Each,9,Top,Final,
65,S106,1,Each,9,Bottom,Final,
69,S106,1,Each,1,Center,Internal,
70,Tube-D,1,Each,25,Center,Internal,
71,Tube-D,5,Each,7,Full,Internal,
74,G100,1,Each,25,Center,Internal,
75,SL103-S-O,2,Each,14,Side,Frame,
76,SL103-S-O,1,Each,14,Center,Frame,
77,SL103-S-O,1,Each,22,Top,Frame,
78,SL103-S-O,1,Each,22,Bottom,Frame,
79,SL103-S-O,3,Each,7,Top,Internal,
80,SL103-S-O,3,Each,7,Bottom,Internal,
81,SL103-S-O,2,Each,22,Center,Internal,
82,SL103-S-O,1,Each,8,Top,Design,
83,SL103-S-O,1,Each,8,Bottom,Design,
84,SL103-D-O,2,Each,14,Side,Frame,
85,SL103-D-O,2,Each,14,Center,Frame,
86,SL103-D-O,2,Each,22,Top,Frame,
87,SL103-D-O,1,Each,22,Center,Frame,
88,SL103-D-O,2,Each,22,Bottom,Frame,
89,SL103-D-O,6,Each,7,Top,Internal,
90,SL103-D-O,6,Each,7,Bottom,Internal,
91,SL103-D-O,4,Each,22,Center,Internal,
92,Y121,1,Each,1,Top,Frame,
93,Y121,1,Each,1,Bottom,Frame,
94,Y121,1,Each,3,Side,Frame,
95,Y121,1,Each,2,Side,Frame,
96,Y121,2,Each,5,Center,Internal,
97,Y121,5,Each,7,Top,Internal,
98,Y121,5,Each,7,Bottom,Internal,
99,Y121,1,Each,28,Center,Design,
100,Y121,1,Each,9,Top,Final,
101,Y121,1,Each,9,Bottom,Final,
102,Y121,1,Each,10,Center,Final,
103,Y121,1,Each,27,Top,Final,
107,Y130,1,Each,1,Bottom,Frame,
108,Y130,1,Each,1,Top,Frame,
109,Y130,1,Each,2,Side,Frame,
110,Y130,1,Each,3,Side,Frame,
111,Y130,2,Each,5,Center,Internal,
